id,dataset_name,original_location,project_name,last_update,time_of_creation,is_database
2,output_file_dutch_20241114_113227.csv,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project2\output_file_dutch_20241114_113227.csv,Project2,2024-12-20 10:55:34,2024-12-20 10:55:34,False
3,output_file_dutch_20241114_113227.csv,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project3\output_file_dutch_20241114_113227.csv,Project3,2024-12-20 10:55:39,2024-12-20 10:55:39,False
5,quiz_db,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project3\quiz_db_connection.json,Project3,2024-12-20 11:02:34,2024-12-20 11:02:34,True
6,quiz_db,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project3\quiz_db_connection.json,Project3,2024-12-20 11:23:25,2024-12-20 11:23:25,True
7,quiz_db,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project4\quiz_db_connection.json,Project4,2025-01-01 12:33:48,2025-01-01 12:33:48,True
8,output_file_english_20241114_113227.csv,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project4\output_file_english_20241114_113227.csv,Project4,2025-01-05 15:50:54,2025-01-05 15:50:54,False
9,output_file_english_20241114_113227.csv,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project3\output_file_english_20241114_113227.csv,Project3,2025-01-05 16:53:34,2025-01-05 16:53:34,False
10,output_file_english_20241114_113227.csv,C:\_WORK\Streamlit_App6\JobPostingAnalysis\users\viktor\src\data\registry\Project2\output_file_english_20241114_113227.csv,Project2,2025-01-05 17:18:15,2025-01-05 17:18:15,False
11,quiz_db,C:\_WORK\Streamlit_App7\JobPostingAnalysis\users\viktor\src\data\registry\Project5\quiz_db\quiz_db_connection.json,Project5,2025-01-06 15:20:30,2025-01-06 15:20:30,True
12,output_file_english_20241114_113227.csv,C:\_WORK\Streamlit_App7\JobPostingAnalysis\users\viktor\src\data\registry\Project5\output_file_english_20241114_113227.csv\output_file_english_20241114_113227.csv.csv,Project5,2025-01-06 15:44:57,2025-01-06 15:44:57,False
13,output_file_english_20241114_113227.csv,C:\_WORK\Streamlit_App7\JobPostingAnalysis\users\viktor\src\data\registry\Project6\output_file_english_20241114_113227.csv\output_file_english_20241114_113227.csv.csv,Project6,2025-01-07 11:40:30,2025-01-07 11:40:30,False
14,output_file_english_20241114_113227.csv,C:\_WORK\Streamlit_App7\JobPostingAnalysis\users\viktor\src\data\registry\Project7\output_file_english_20241114_113227.csv\output_file_english_20241114_113227.csv.csv,Project7,2025-01-08 10:46:41,2025-01-08 10:46:41,False
